name,shortform
Foreign Policy,FP
International Affairs,IA
International Security,IS
Foreign Affairs,FA
Security Studies,SS
Review of International Studies,RIS
International Studies Quarterly,ISQ
Global Governance,GG
International Studies Review,ISR
European Journal of International Relations,EJIR
International Organization,IO
Review of International Political Economy,RIPE
American Political Science Review,APSR
Comparative Politics,CP
International Relations,IR
Journal of Peace Research,JPR
World Politics,WP
American Journal of Political Science,AJPS
Journal of Conflict Resolution,JCR
Millennium: Journal of International Studies,MIL
