code,journal,year,classified,no_source,no_usg,leak,euph,wlc,to_from_found,peer,body_leak,cable,num_cables
3,APSR,2020,n,n,y,n,n,n,y,y,n,y,0
3,IA,2020,n,n,n,n,n,y,n,y,n,y,4
3,IA,2020,n,n,n,n,n,n,n,y,n,n,0
3,IS,2020,y,n,y,n,n,n,n,y,n,y,8
3,ISR,2020,n,n,n,n,n,n,n,y,n,y,4
3,SS,2020,y,n,y,y,n,n,n,y,y,y,11
3,CP,2019,n,n,y,n,n,n,n,y,n,y,2
3,EJIR,2019,n,n,?,n,n,y,n,y,y,y,0
3,GG,2019,n,n,n,y,n,n,n,y,y,y,1
3,GG,2019,n,n,n,n,n,n,n,y,n,n,0
3,IS,2019,n,y,n,n,n,n,n,y,n,y,3
3,ISQ,2019,n,n,n,n,n,n,n,y,n,??,0
3,ISQ,2019,n,n,y,n,y,y,n,y,n,y,6
3,ISQ,2019,n,n,n,n,n,n,n,y,n,n,0
3,RIS,2019,n,y,n,n,y,n,n,y,y,y,5
3,SS,2019,n,y,n,y,n,n,n,y,y,y,2
3,SS,2019,n,y,n,n,n,n,n,y,n,y,1
3,GG,2018,n,n,y,n,n,n,n,y,n,y,4
3,GG,2018,y,n,n,n,n,n,y,y,n,y,16
3,IA,2018,n,n,n,y,n,n,n,y,y,y,2
3,IO,2018,n,n,y,n,n,n,n,y,n,y,6
3,IO,2018,n,n,n,n,n,n,n,y,n,n,0
3,IR,2018,n,n,y,n,n,y,n,y,y,y,7
3,JPR,2018,n,n,n,y,n,n,n,y,y,y,2
3,RIS,2018,n,n,n,y,n,n,y,y,y,y,1
3,SS,2018,y,n,n,y,y,n,n,y,y,y,8
3,SS,2018,n,n,n,n,n,n,n,y,n,n,0
3,CP,2017,n,n,y,n,y,y,n,y,y,y,5
3,IO,2017,n,n,n,n,n,n,n,y,n,n,0
3,ISQ,2017,n,n,y,n,n,n,n,y,n,y,1
3,JPR,2017,y,n,n,n,y,n,n,y,y,y,0
3,RIPE,2017,n,n,y,y,n,n,n,y,y,y,2
3,RIS,2017,n,n,y,y,n,n,n,y,y,y,4
3,RIS,2017,n,n,n,n,n,n,n,y,n,n,0
3,RIS,2017,n,n,n,n,n,n,n,y,n,n,0
3,APSR,2016,n,n,n,n,n,n,n,y,n,n,0
3,IA,2016,n,n,y,n,n,n,n,y,n,y,1
3,IA,2016,n,?,n,y,y,n,n,y,y,y,3
3,IA,2016,n,n,n,n,y,n,n,y,n,y,1
3,IA,2016,n,n,n,n,n,n,n,y,n,n,0
3,IS,2016,y,n,n,n,n,n,n,y,n,y,1
3,IS,2016,n,n,n,n,n,n,n,y,n,y,1
3,IS,2016,n,n,n,n,n,n,n,y,n,n,0
3,ISQ,2016,n,y,n,n,n,y,n,y,n,y,1
3,ISR,2016,n,n,y,n,n,n,n,y,n,y,1
3,JCR,2016,n,n,n,n,n,n,n,y,n,n,0
3,RIPE,2016,n,n,n,y,n,n,n,y,n,y,1
3,RIS,2016,y,n,n,n,y,n,n,y,n,y,2
3,SS,2016,y,y,y,n,n,n,n,y,n,y,3
3,SS,2016,n,n,n,n,n,n,n,y,n,y,3
3,WP,2016,n,n,n,y,n,y,n,y,y,y,1
3,AJPS,2015,n,n,y,n,n,n,n,y,n,y,1
3,EJIR,2015,n,n,y,n,n,y,n,y,n,y,1
3,GG,2015,n,n,n,y,y,y,n,y,y,y,0
3,IA,2015,n,n,n,y,y,n,n,y,y,y,10
3,IR,2015,n,n,n,y,y,n,n,y,y,y,12
3,ISR,2015,n,n,n,n,y,n,n,y,n,y,1
3,RIS,2015,n,n,y,n,n,n,n,y,n,y,1
3,GG,2014,n,n,y,n,n,n,n,y,y,y,3
3,IA,2014,n,n,n,y,n,n,n,y,y,y,1
3,IA,2014,n,n,y,n,n,y,n,y,n,y,2
3,IS,2014,n,n,y,y,n,n,n,y,y,y,1
3,IS,2014,n,n,n,n,n,n,n,y,n,y,1
3,RIS,2014,n,n,y,y,n,n,n,y,y,y,5
3,IA,2013,n,y,n,y,n,n,n,y,n,y,1
3,IA,2013,n,n,y,n,n,n,n,y,n,y,1
3,IS,2013,y,n,n,n,y,n,n,y,n,y,3
3,ISQ,2013,n,n,n,n,n,n,n,y,n,n,0
3,ISR,2013,n,n,n,n,n,n,n,y,n,n,0
3,RIS,2013,n,n,n,n,y,n,n,y,y,y,1
3,SS,2013,n,y,n,n,n,y,n,y,n,y,1
3,SS,2013,n,n,n,n,n,n,n,y,n,n,0
3,WP,2013,n,n,n,n,n,n,n,y,n,y,1
3,EJIR,2012,n,n,y,n,n,y,n,y,y,y,1
3,IS,2012,y,n,y,n,y,n,n,y,y,y,1
3,IS,2012,n,n,n,n,n,n,n,y,n,n,0
3,ISQ,2012,y,n,n,n,y,n,n,y,n,y,1
3,RIPE,2012,n,n,y,n,n,n,n,y,n,y,1
3,IA,2011,y,n,n,y,n,n,n,y,y,y,2
3,IA,2011,y,y,n,y,n,n,n,y,n,y,1
3,MIL,2011,n,n,y,n,n,n,n,y,n,y,1
3,FA,2018,n,n,n,n,n,n,n,n,n,y,0
3,FA,2016,n,n,n,n,n,n,n,n,n,y,0
3,FP,2016,n,n,n,n,n,n,n,n,n,y,0
3,FA,2015,n,n,n,n,n,n,n,n,n,y,0
3,FP,2015,n,n,n,n,n,n,n,n,n,y,0
3,FA,2014,n,n,n,n,n,n,n,n,n,y,0
3,FP,2014,n,n,n,n,n,n,n,n,n,y,0
3,FA,2013,n,n,n,n,n,n,n,n,n,y,0
3,FA,2013,n,n,n,n,n,n,n,n,n,y,0
3,FP,2013,n,n,n,n,n,n,n,n,n,y,0
3,FP,2013,n,n,n,n,n,n,n,n,n,y,0
3,FP,2013,n,n,n,n,n,n,n,n,n,y,0
3,FA,2012,n,n,n,n,n,n,n,n,n,y,0
3,FP,2012,n,n,n,n,n,n,n,n,n,y,0
3,FP,2012,n,n,n,n,n,n,n,n,n,y,0
3,FP,2012,n,n,n,n,n,n,n,n,n,y,0
3,FP,2012,n,n,n,n,n,n,n,n,n,y,0
3,FP,2012,n,n,n,n,n,n,n,n,n,y,0
3,FP,2012,n,n,n,n,n,n,n,n,n,y,0
3,FP,2012,n,n,n,n,n,n,n,n,n,y,0
3,FA,2011,n,n,n,n,n,n,n,n,n,y,0
3,FA,2011,n,n,n,n,n,n,n,n,n,y,0
3,FA,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
3,FP,2011,n,n,n,n,n,n,n,n,n,y,0
2,AJPS,2020,n,n,n,n,n,n,n,n,n,n,0
2,IA,2020,n,n,n,n,n,n,n,n,n,n,0
2,IA,2020,n,n,n,n,n,n,n,n,n,n,0
2,IS,2020,n,n,n,n,n,n,n,n,n,n,0
2,ISR,2020,n,n,n,n,n,n,n,n,n,n,0
2,JCR,2020,n,n,n,n,n,n,n,n,n,n,0
2,RIS,2020,n,n,n,n,n,n,n,n,n,n,0
2,RIS,2020,n,n,n,n,n,n,n,n,n,n,0
2,RIS,2020,n,n,n,n,n,n,n,n,n,n,0
2,SS,2020,n,n,n,n,n,n,n,n,n,n,0
2,EJIR,2019,n,n,n,n,n,n,n,n,n,n,0
2,EJIR,2019,n,n,n,n,n,n,n,n,n,n,0
2,IS,2019,n,n,n,n,n,n,n,n,n,n,0
2,ISQ,2019,n,n,n,n,n,n,n,n,n,n,0
2,ISQ,2019,n,n,n,n,n,n,n,n,n,n,0
2,RIS,2019,n,n,n,n,n,n,n,n,n,n,0
2,WP,2019,n,n,n,n,n,n,n,n,n,n,0
2,SS,2018,n,n,n,n,n,n,n,n,n,n,0
2,APSR,2017,n,n,n,n,n,n,n,n,n,n,0
2,CP,2017,n,n,n,n,n,n,n,n,n,n,0
2,GG,2017,n,n,n,n,n,n,n,n,n,n,0
2,IS,2017,n,n,n,n,n,n,n,n,n,n,0
2,RIPE,2017,n,n,n,n,n,n,n,n,n,n,0
2,SS,2017,n,n,n,n,n,n,n,n,n,n,0
2,IA,2016,n,n,n,n,n,n,n,n,n,n,0
2,IA,2016,n,n,n,n,n,n,n,n,n,n,0
2,IA,2015,n,n,n,n,n,n,n,n,n,n,0
2,RIS,2015,n,n,n,n,n,n,n,n,n,n,0
2,SS,2015,n,n,n,n,n,n,n,n,n,n,0
2,EJIR,2014,n,n,n,n,n,n,n,n,n,n,0
2,EJIR,2014,n,n,n,n,n,n,n,n,n,n,0
2,IS,2014,n,n,n,n,n,n,n,n,n,n,0
2,JCR,2014,n,n,n,n,n,n,n,n,n,n,0
2,IA,2013,n,n,n,n,n,n,n,n,n,n,0
2,IA,2013,n,n,n,n,n,n,n,n,n,n,0
2,IA,2013,n,n,n,n,n,n,n,n,n,n,0
2,IA,2013,n,n,n,n,n,n,n,n,n,n,0
2,IS,2013,n,n,n,n,n,n,n,n,n,n,0
2,ISQ,2013,n,n,n,n,n,n,n,n,n,n,0
2,RIS,2013,n,n,n,n,n,n,n,n,n,n,0
2,IA,2012,n,n,n,n,n,n,n,n,n,n,0
2,IA,2012,n,n,n,n,n,n,n,n,n,n,0
2,IA,2012,n,n,n,n,n,n,n,n,n,n,0
2,ISQ,2012,n,n,n,n,n,n,n,n,n,n,0
2,MIL,2012,n,n,n,n,n,n,n,n,n,n,0
2,WP,2012,n,n,n,n,n,n,n,n,n,n,0
2,IA,2011,n,n,n,n,n,n,n,n,n,n,0
2,IA,2011,n,n,n,n,n,n,n,n,n,n,0
2,IA,2011,n,n,n,n,n,n,n,n,n,n,0
2,IS,2011,n,n,n,n,n,n,n,n,n,n,0
2,JPR,2011,n,n,n,n,n,n,n,n,n,n,0
2,MIL,2011,n,n,n,n,n,n,n,n,n,n,0
