"Christopher Darnton, ""The Provenance Problem: Research Methods and Ethics in the Age of WikiLeaks,""",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"American Political Science Review, forthcoming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DATA FOR FIG. 2,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,# Cables cited,# Articles citing that many cables,Combined cables cited
Online Appendix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0
NA,"Contains full list of articles; codes; notes for code 3 and 2 articles; tables, figures, and source data for these and for all calculations reported in article.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,30
NA,"Please scroll down for article list, or right and down for tables and figures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,16
Column titles and coding:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,18
NA,"C = Code (3 if using leaked sources directly; 2 if using leaked information via published secondary sources; 1 if false positive from search terms, not actually citing leaked information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,16
NA,Title,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,15
NA,Author,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,12
NA,J = Journal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7
NA,V = volume,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,16
NA,N = issue number,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0
NA,Year = year of publication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,10
NA,"NOTES = all relevant information for coding authors' use or nonuse of leaked sources, along with page and footnote numbers, citation formats, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,11
NA,"CLASS = y (for ""yes"") if, at any point regarding leaked sources, text or citation mentions classified, secret, top secret, confidential, or unclassified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,12
NA,NO SOURCE = y if at least one reference to apparently leaked US document lacks citation or specific named repository,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,0
NA,NO USG = y if at least one reference to an apparently leaked US cable omits USG origin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0
NA,"LEAK = y if article or notes at any point mentions ""leaked"" sources (mentioning ""WikiLeaks"" does not count)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0
NA,"EUPH = y if article or notes uses verb about WL role other than ""leak"" (publish, distribute, disseminate, release, provide) or adjective about document origin or status other than leaked or classified (private, internal, available)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,16
NA,"WLC = y if article or notes at any point refer to ""WikiLeaks cable(s)"" or documents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unclear,2,NA
